Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
217Pa;91;126;a;;;3.8 ms;9/2-;
218Pa;91;127;a;;;108 μs;8-;
219Pa;91;128;a;;;56 ns;9/2-;
220Pa;91;129;a;;;850 ns;1-;
221Pa;91;130;a;;;5.9 μs;9/2-;
222Pa;91;131;a;;;3.8 ms;1-;
223Pa;91;132;a;;;5.3 ms;9/2-;
224Pa;91;133;a;;;844 ms;(5-);
225Pa;91;134;a;;;1.71 s;5/2-;
226Pa;91;135;a: 74.0%;b+: 26.0%;;1.8 min;1-;
227Pa;91;136;a: 85.0%;EC: 15.0%;;38.3 min;(5/2-);
228Pa;91;137;b+: 98.2%;a: 1.9%;;22 h;3+;
229Pa;91;138;EC: 99.5%;a: 0.5%;;1.55 d;5/2+;
230Pa;91;139;b+: 92.2%;b-: 7.8%;;17.4 d;2-;
231Pa;91;140;a;;;3.265E+4 y;3/2-;
232Pa;91;141;b-;;;1.32 d;(2-);
233Pa;91;142;b-;;;26.975 d;3/2-;
234Pa;91;143;b-;;;6.7 h;4+;
235Pa;91;144;b-;;;24.4 min;3/2-;
236Pa;91;145;b-;;;9.1 min;1(-);
237Pa;91;146;b-;;;8.7 min;1/2+;
238Pa;91;147;b-;;;2.28 min;3-;
239Pa;91;148;b-;;;1.8 h;1/2+;
240Pa;91;149;b-;;;;;
214U;92;122;a;;;0.52 ms;0+;
215U;92;123;a;;;1.4 ms;5/2-;
216U;92;124;a;;;2.25 ms;0+;
217U;92;125;a;;;19.3 ms;(1/2-);
218U;92;126;a;;;650 μs;0+;
219U;92;127;a;;;60 μs;(9/2+);
220U;92;128;a;;;;;
221U;92;129;a;;;0.66 μs;(9/2+);
222U;92;130;a;;;4.7 μs;0+;
223U;92;131;a;;;65 μs;7/2+;
224U;92;132;a;;;396 μs;0+;
225U;92;133;a;;;62 ms;5/2+;
226U;92;134;a;;;269 ms;0+;
227U;92;135;a;;;1.1 min;(3/2+);
228U;92;136;a: 97.5%;EC: 2.5%;;9.1 min;0+;
229U;92;137;b+: 80.0%;a: 20.0%;;57.8 min;(3/2+);
230U;92;138;a;;;20.23 d;0+;
231U;92;139;EC: 99.996%;a: 0.004%;;4.2 d;5/2+;
232U;92;140;a;;;68.9 y;0+;
233U;92;141;a;;;1.5919E+5 y;5/2+;
234U;92;142;a;;;2.455E+5 y;0+;
235U;92;143;a;;;7.04E+8 y;7/2-;0.72
236U;92;144;a;;;2.342E+7 y;0+;
237U;92;145;b-;;;6.752 d;1/2+;
238U;92;146;a;;;4.463E+9 y;0+;99.27
239U;92;147;b-;;;23.45 min;5/2+;
240U;92;148;b-;;;14.1 h;0+;
241U;92;149;b-;;;40 min;7/2+;
242U;92;150;b-;;;16.8 min;0+;
219Np;93;126;a;;;570 μs;9/2-;
220Np;93;127;a;;;25 μs;1-;
221Np;93;128;a;;;;;
222Np;93;129;a;;;480 ns;1-;
223Np;93;130;a;;;2.5 μs;(9/2-);
224Np;93;131;a;;;38 μs;2-;
225Np;93;132;a;;;6.5 ms;9/2-;
226Np;93;133;a;;;35 ms;;
227Np;93;134;a;;;510 ms;5/2+;
228Np;93;135;EC: 59.0%;a: 41.0%;;61.4 s;4+;
229Np;93;136;a: 68.0%;b+: 32.0%;;4 min;5/2+;
230Np;93;137;b+: 97.0%;a: 3.0%;;4.6 min;4+;
231Np;93;138;b+: 98.0%;a: 2.0%;;48.8 min;5/2+;
232Np;93;139;b+;;;14.7 min;(5-);
233Np;93;140;b+;;;36.2 min;5/2+;
234Np;93;141;b+;;;4.4 d;(0+);
235Np;93;142;EC;;;396.1 d;5/2+;
236Np;93;143;EC: 86.3%;b-: 13.5%;a: 0.2%;1.53E+5 y;(6-);
237Np;93;144;a;;;2.144E+6 y;5/2+;
238Np;93;145;b-;;;2.099 d;2+;
239Np;93;146;b-;;;2.356 d;5/2+;
240Np;93;147;b-;;;61.9 min;(5+);
241Np;93;148;b-;;;13.9 min;(5/2+);
242Np;93;149;b-;;;2.2 min;(1+);
243Np;93;150;b-;;;1.85 min;5/2+;
244Np;93;151;b-;;;2.29 min;7-;
226Pu;94;132;a;;;> 1 ms;0+;
227Pu;94;133;a;;;0.78 s;5/2+;
228Pu;94;134;a;;;2.1 s;0+;
229Pu;94;135;a: 46.7%;b+: 46.7%;SF: 6.6%;;3/2+;
230Pu;94;136;a: 73.0%;b+: 27.0%;;105 s;0+;
231Pu;94;137;b+: 87.0%;a: 13.0%;;8.6 min;(3/2+);
232Pu;94;138;EC: 77.0%;a: 23.0%;;33.7 min;0+;
233Pu;94;139;b+: 99.9%;a: 0.1%;;20.9 min;5/2+;
234Pu;94;140;EC: 94.0%;a: 6.0%;;8.8 h;0+;
235Pu;94;141;b+: 99.997%;a: 0.003%;;25.3 min;(5/2+);
236Pu;94;142;a;;;2.858 y;0+;
237Pu;94;143;EC: 99.996%;a: 0.004%;;45.64 d;7/2-;
238Pu;94;144;a;;;87.7 y;0+;
239Pu;94;145;a;;;2.411E+4 y;1/2+;
240Pu;94;146;a;;;6.561E+3 y;0+;
241Pu;94;147;b-: 99.998%;a: 0.002%;;14.329 y;5/2+;
242Pu;94;148;a;;;3.75E+5 y;0+;
243Pu;94;149;b-;;;4.9553 h;7/2+;
244Pu;94;150;a: 99.9%;SF: 0.1%;;8.13E+7 y;0+;
245Pu;94;151;b-;;;10.5 h;(9/2-);
246Pu;94;152;b-;;;10.84 d;0+;
247Pu;94;153;b-;;;2.27 d;1/2+;
229Am;95;134;a;;;1.8 s;;
230Am;95;135;b+;;;40 s;;
231Am;95;136;b+;a;;;;
232Am;95;137;b+: 97.0%;a: 3.0%;;1.31 min;;
233Am;95;138;b+: 95.5%;a: 4.5%;;3.2 min;;
234Am;95;139;b+: 99.95%;a: 0.04%;SF: 0.01%;2.32 min;;
235Am;95;140;b+: 99.6%;a: 0.4%;;10.3 min;5/2-;
236Am;95;141;b+;;;3.6 min;5-;
237Am;95;142;b+: 99.975%;a: 0.025%;;73.6 min;5/2-;
238Am;95;143;b+;;;98 min;1+;
239Am;95;144;EC: 99.99%;a: 0.01%;;11.9 h;5/2-;
240Am;95;145;b+;;;50.8 h;(3-);
241Am;95;146;a;;;432.6 y;5/2-;
242Am;95;147;b-: 82.7%;EC: 17.3%;;16.02 h;1-;
243Am;95;148;a;;;7350 y;5/2-;
244Am;95;149;b-;;;10.01 h;(6-);
245Am;95;150;b-;;;2.05 h;5/2+;
246Am;95;151;b-;;;39 min;7-;
247Am;95;152;b-;;;23 min;;
248Am;95;153;b-;;;;;
249Am;95;154;b-;;;;;
233Cm;96;137;b+: 80.0%;a: 20.0%;;27 s;3/2+;
234Cm;96;138;b+: 71.0%;a: 27.0%;SF: 2.0%;52 s;0+;
235Cm;96;139;b+: 96.0%;a: 4.0%;;7 min;5/2+;
236Cm;96;140;b+: 82.0%;a: 18.0%;;6.8 min;0+;
237Cm;96;141;a;;;> 10 min;5/2+;
238Cm;96;142;EC: 96.1%;a: 3.8%;SF: 0.1%;2.2 h;0+;
239Cm;96;143;b+: 99.994%;a: 0.006%;;2.5 h;7/2-;
240Cm;96;144;a;;;30.4 d;0+;
241Cm;96;145;EC: 99.0%;a: 1.0%;;32.8 d;1/2+;
242Cm;96;146;a;;;162.8 d;0+;
243Cm;96;147;a: 99.7%;EC: 0.3%;;29.1 y;5/2+;
244Cm;96;148;a;;;18.11 y;0+;
245Cm;96;149;a;;;8250 y;7/2+;
246Cm;96;150;a: 99.97%;SF: 0.03%;;4706 y;0+;
247Cm;96;151;a;;;1.56E+7 y;9/2-;
248Cm;96;152;a: 91.6%;SF: 8.4%;;3.48E+5 y;0+;
249Cm;96;153;b-;;;64.15 min;1/2+;
250Cm;96;154;SF;;;8300 y;0+;
251Cm;96;155;b-;;;16.8 min;(3/2+);
252Cm;96;156;b-;;;<2 d;0+;
233Bk;97;136;a: 82.0%;b+: 18.0%;;40 s;3/2-;
234Bk;97;137;a: 80.0%;b+: 20.0%;;20 s;3-;
235Bk;97;138;b+;a;;;;
236Bk;97;139;b+;;;26 s;4+;
237Bk;97;140;b+;a;;;;
238Bk;97;141;b+;;;2.4 min;;
239Bk;97;142;b+;;;100 s;(7/2+);
240Bk;97;143;b+;a;;4.8 min;7-;
241Bk;97;144;b+;;;4.6 min;(7/2+);
242Bk;97;145;b+;;;7 min;3+;
243Bk;97;146;b+: 99.8%;a: 0.2%;;4.6 h;3/2-;
244Bk;97;147;b+: 99.994%;a: 0.006%;;5.02 h;4-;
245Bk;97;148;EC: 99.9%;a: 0.1%;;4.95 d;3/2-;
246Bk;97;149;b+;;;1.8 d;2(-);
247Bk;97;150;a;;;1.38E+3 y;3/2-;
248Bk;97;151;a;EC;b-;> 9 y;6+;
249Bk;97;152;b-: 99.999%;a: 0.001%;;327.2 d;7/2+;
250Bk;97;153;b-;;;3.212 h;2-;
251Bk;97;154;b-;;;55.6 min;(3/2-);
252Bk;97;155;b-;;;1.8 min;;
253Bk;97;156;b-;;;60 min;3/2-;
254Bk;97;157;b-;;;;;
237Cf;98;139;a: 70.0%;SF: 30.0%;;0.8 s;5/2+;
238Cf;98;140;SF: 97.5%;a: 2.5%;;21.1 ms;0+;
239Cf;98;141;a: 65.0%;b+: 35.0%;;28 s;5/2+;
240Cf;98;142;a: 98.5%;SF: 1.5%;;40.3 s;0+;
241Cf;98;143;b+: 85.0%;a: 15.0%;;2.35 min;7/2-;
242Cf;98;144;a: 61.0%;b+: 39.0%;;3.49 min;0+;
243Cf;98;145;b+: 86.0%;a: 14.0%;;10.8 min;(1/2+);
244Cf;98;146;a: 75.0%;EC: 25.0%;;19.5 min;0+;
245Cf;98;147;b+: 64.7%;a: 35.3%;;45 min;1/2+;
246Cf;98;148;a;;;35.7 h;0+;
247Cf;98;149;EC: 99.97%;a: 0.03%;;3.11 h;(7/2+);
248Cf;98;150;a: 99.997%;SF: 0.003%;;333.5 d;0+;
249Cf;98;151;a;;;351 y;9/2-;
250Cf;98;152;a: 99.9%;SF: 0.1%;;13.08 y;0+;
251Cf;98;153;a;;;898 y;1/2+;
252Cf;98;154;a: 96.9%;SF: 3.1%;;2.645 y;0+;
253Cf;98;155;b-: 99.7%;a: 0.3%;;17.81 d;(7/2+);
254Cf;98;156;SF: 99.7%;a: 0.3%;;60.5 d;0+;
255Cf;98;157;b-;;;85 min;(7/2+);
256Cf;98;158;SF;;;12.3 min;0+;
240Es;99;141;a: 70.0%;b+: 30.0%;b+: 0.2%;6 s;4-;
241Es;99;142;a;;;4.3 s;3/2-;
242Es;99;143;b+: 59.0%;a: 41.0%;;16.9 s;2+;
243Es;99;144;a: 61.0%;b+: 39.0%;;22.1 s;(7/2+);
244Es;99;145;b+: 95.0%;a: 5.0%;;37 s;6+;
245Es;99;146;b+: 51.0%;a: 49.0%;;1.11 min;(3/2-);
246Es;99;147;b+: 90.1%;a: 9.9%;;7.5 min;4-;
247Es;99;148;b+: 93.0%;a: 7.0%;;4.55 min;(7/2+);
248Es;99;149;b+: 99.8%;a: 0.3%;;24 min;2-;
249Es;99;150;b+: 99.4%;a: 0.6%;;102.2 min;7/2+;
250Es;99;151;b+;;;8.6 h;6(+);
251Es;99;152;EC: 99.5%;a: 0.5%;;33 h;3/2-;
252Es;99;153;a: 78.0%;EC: 22.0%;;471.7 d;(4+);
253Es;99;154;a;;;20.47 d;7/2+;
254Es;99;155;a;;;275.7 d;7+;
255Es;99;156;b-: 92.0%;a: 8.0%;;39.8 d;(7/2+);
256Es;99;157;b-;;;7.6 h;7+;
257Es;99;158;b-;;;7.7 d;7/2+;
258Es;99;159;b-;a;;;;
241Fm;100;141;SF: 74.0%;a: 14.0%;b+: 12.0%;730 μs;5/2+;
242Fm;100;142;SF;;;0.8 ms;0+;
243Fm;100;143;a: 91.0%;SF: 9.0%;;231 ms;7/2-;
244Fm;100;144;SF: 97.0%;b+: 2.0%;a: 1.0%;3.12 ms;0+;
245Fm;100;145;a: 88.5%;b+: 11.5%;;4.2 s;1/2+;
246Fm;100;146;a: 93.2%;SF: 6.8%;;1.54 s;0+;
247Fm;100;147;a: 64.0%;b+: 36.0%;;31 s;(7/2+);
248Fm;100;148;a: 99.9%;SF: 0.1%;;34.5 s;0+;
249Fm;100;149;b+: 67.0%;a: 33.0%;;1.6 min;7/2+;
250Fm;100;150;a: 100.0%;SF: 6.9%;;31 min;0+;
251Fm;100;151;b+: 98.2%;a: 1.8%;;5.3 h;9/2-;
252Fm;100;152;a: 99.99%;SF: 0.01%;;25.39 h;0+;
253Fm;100;153;EC: 88.0%;a: 12.0%;;3 d;1/2+;
254Fm;100;154;a: 99.94%;SF: 0.06%;;3.24 h;0+;
255Fm;100;155;a;;;20.07 h;7/2+;
256Fm;100;156;SF: 91.9%;a: 8.1%;;157.1 min;0+;
257Fm;100;157;a: 99.8%;SF: 0.2%;;100.5 d;9/2+;
258Fm;100;158;SF;;;370 μs;0+;
259Fm;100;159;SF;;;1.5 s;;
260Fm;100;160;SF;;;1 min;0+;
244Md;101;143;a;b+;SF;0.3 s;3+;
245Md;101;144;a;;;0.38 s;(7/2-);
246Md;101;145;a;;;0.92 s;1-;
247Md;101;146;a: 99.1%;SF: 0.9%;;1.2 s;(7/2-);
248Md;101;147;b+: 80.0%;a: 20.0%;;7 s;;
249Md;101;148;a: 75.0%;b+: 25.0%;;25.6 s;(7/2-);
250Md;101;149;b+: 93.0%;a: 7.0%;;54 s;2-;
251Md;101;150;b+: 90.0%;a: 10.0%;;4.21 min;(7/2-);
252Md;101;151;b+;;;2.3 min;1+;
253Md;101;152;b+: 99.3%;a: 0.7%;;6.4 min;(7/2-);
254Md;101;153;b+;;;10 min;0-;
255Md;101;154;b+: 93.0%;a: 7.0%;;27 min;7/2-;
256Md;101;155;b+: 90.8%;a: 9.2%;;77.7 min;(1-);
257Md;101;156;EC: 85.0%;a: 15.0%;;5.52 h;(7/2-);
258Md;101;157;a;;;51.59 d;8-;
259Md;101;158;SF;;;1.6 h;7/2-;
260Md;101;159;SF;;;27.8 d;;
261Md;101;160;a;;;;;
262Md;101;161;SF;a;;;;
248No;102;146;SF;;;< 2 μs;0+;
249No;102;147;a;;;38.3 ms;5/2+;
250No;102;148;SF;;;4 μs;0+;
251No;102;149;a: 91.0%;b+: 8.9%;SF: 0.1%;0.8 s;(7/2+);
252No;102;150;a: 70.2%;SF: 29.0%;b+: 0.8%;2.467 s;0+;
253No;102;151;a: 55.0%;b+: 45.0%;;1.57 min;9/2-;
254No;102;152;a: 89.9%;b+: 9.9%;SF: 0.2%;51.2 s;0+;
255No;102;153;b+: 70.0%;a: 30.0%;;3.52 min;(1/2+);
256No;102;154;a: 99.5%;SF: 0.6%;;2.91 s;0+;
257No;102;155;a: 85.0%;b+: 15.0%;;24.5 s;(3/2+);
258No;102;156;SF;;;1.23 ms;0+;
259No;102;157;a: 75.0%;EC: 25.0%;;58 min;9/2+;
260No;102;158;SF;;;106 ms;0+;
261No;102;159;a;;;;;
262No;102;160;SF;;;5 ms;0+;
263No;102;161;a;SF;;;;
264No;102;162;a;SF;;;;
251Lr;103;148;a;SF;;24.4 ms;7/2-;
252Lr;103;149;a: 98.0%;SF: 2.0%;;369 ms;7-;
253Lr;103;150;a: 99.0%;SF: 1.0%;;632 ms;(7/2-);
254Lr;103;151;a: 71.7%;b+: 28.3%;;12 s;4+;
255Lr;103;152;a: 85.0%;b+: 15.0%;;31.1 s;1/2-;
256Lr;103;153;a: 85.0%;b+: 15.0%;;27.9 s;(0-,3-);
257Lr;103;154;a;;;6 s;7/2-;
258Lr;103;155;a: 97.4%;b+: 2.6%;;3.92 s;;
259Lr;103;156;a: 78.0%;SF: 22.0%;;6.2 s;1/2-;
260Lr;103;157;a: 80.0%;b+: 20.0%;;3 min;;
261Lr;103;158;SF;;;39 min;1/2-;
262Lr;103;159;b+;SF;;4 h;;
263Lr;103;160;a;;;;;
264Lr;103;161;SF;;;4.8 h;;
265Lr;103;162;a;SF;;;;
266Lr;103;163;SF;;;11 h;;
252Rf;104;148;SF;;;60 ns;0+;
253Rf;104;149;SF: 83.0%;a: 17.0%;;9.9 ms;(1/2+);
254Rf;104;150;SF;;;22.9 μs;0+;
255Rf;104;151;SF: 50.9%;a: 49.1%;;1.69 s;(9/2-);
256Rf;104;152;SF: 99.7%;a: 0.3%;;6.6 ms;0+;
257Rf;104;153;a: 89.3%;b+: 9.4%;SF: 1.3%;6.2 s;(1/2+);
258Rf;104;154;SF: 95.1%;a: 4.9%;;12.5 ms;0+;
259Rf;104;155;a: 85.0%;b+: 15.0%;;2.63 s;3/2+;
260Rf;104;156;SF: 80.0%;a: 20.0%;;21 ms;0+;
261Rf;104;157;SF: 82.0%;a: 18.0%;;2.1 s;3/2+;
262Rf;104;158;SF;;;210 ms;0+;
263Rf;104;159;SF;;;11 min;3/2+;
264Rf;104;160;a;;;;0+;
265Rf;104;161;SF;;;1.3 min;9/2+;
266Rf;104;162;SF;;;23 s;0+;
267Rf;104;163;SF;;;48 min;13/2-;
268Rf;104;164;SF;;;1.4 s;0+;
255Db;105;150;SF: 67.0%;a: 33.0%;;54 ms;9/2+;
256Db;105;151;a: 70.0%;b+: 30.0%;;1.6 s;9-;
257Db;105;152;a: 94.0%;SF: 6.0%;;2.3 s;9/2+;
258Db;105;153;a: 64.0%;b+: 36.0%;;2.17 s;(0-);
259Db;105;154;a;;;0.51 s;9/2+;
260Db;105;155;a: 90.4%;SF: 9.6%;;1.52 s;;
261Db;105;156;SF: 73.0%;a: 27.0%;;4.7 s;9/2+;
262Db;105;157;SF: 52.0%;a: 48.0%;;33.8 s;;
263Db;105;158;SF: 56.1%;a: 37.0%;b+: 6.9%;27 s;9/2+;
264Db;105;159;a;;;;;
265Db;105;160;a;;;;;
266Db;105;161;SF;;;11 min;;
267Db;105;162;SF;;;1.4 h;9/2+;
268Db;105;163;a: 51.0%;SF: 49.0%;;16 h;;
269Db;105;164;a;SF;;;;
270Db;105;165;SF: 87.0%;a: 13.0%;;1 h;;
257Sg;106;151;SF: 90.0%;a: 10.0%;;12.6 ms;(9/2-);
258Sg;106;152;SF;;;2.6 ms;0+;
259Sg;106;153;a;;;402 ms;(11/2-);
260Sg;106;154;SF: 71.0%;a: 29.0%;;4.95 ms;0+;
261Sg;106;155;a: 98.1%;b+: 1.3%;SF: 0.6%;183 ms;(3/2+);
262Sg;106;156;SF: 94.0%;a: 6.0%;;10.3 ms;0+;
263Sg;106;157;a: 87.0%;SF: 13.0%;;940 ms;3/2+;
264Sg;106;158;SF;;;68 ms;0+;
265Sg;106;159;a;;;9.2 s;11/2-;
266Sg;106;160;SF;;;390 ms;0+;
267Sg;106;161;a;;;9.8 min;;
268Sg;106;162;SF;;;13 s;0+;
269Sg;106;163;a: 87.0%;SF: 13.0%;;13 min;;
270Sg;106;164;a;SF;;;;
271Sg;106;165;a: 73.0%;SF: 27.0%;;31 s;3/2+;
272Sg;106;166;a;SF;;;;
273Sg;106;167;SF;;;;;
260Bh;107;153;a;;;35 ms;;
261Bh;107;154;a;;;11.8 ms;(5/2-);
262Bh;107;155;a: 80.0%;SF: 20.0%;;84 ms;;
263Bh;107;156;a;;;;;
264Bh;107;157;a: 86.0%;SF: 14.0%;;1.07 s;;
265Bh;107;158;a;;;0.94 s;;
266Bh;107;159;a;;;10 s;;
267Bh;107;160;a;;;17 s;;
268Bh;107;161;a;SF;;;;
269Bh;107;162;a;;;;;
270Bh;107;163;a;;;2.4 min;;
271Bh;107;164;a;;;2.9 s;;
272Bh;107;165;a;;;8.8 s;;
273Bh;107;166;a;SF;;;;
274Bh;107;167;a;;;44 s;;
278Bh;107;171;SF;;;11.5 min;;
263Hs;108;155;a;;;0.74 ms;3/2+;
264Hs;108;156;a: 70.0%;SF: 30.0%;;0.63 s;0+;
265Hs;108;157;a;;;1.96 ms;9/2+;
266Hs;108;158;a: 76.0%;SF: 24.0%;;3 ms;0+;
267Hs;108;159;a;;;52 ms;5/2+;
268Hs;108;160;a;;;0.38 s;0+;
269Hs;108;161;a;;;13 s;9/2+;
270Hs;108;162;a;;;7.6 s;0+;
271Hs;108;163;a;;;46 s;11/2+;
272Hs;108;164;a;;;160 ms;0+;
273Hs;108;165;a;;;0.68 s;3/2+;
274Hs;108;166;a;SF;;;;
275Hs;108;167;a: 89.0%;SF: 11.0%;;600 ms;;
276Hs;108;168;a;SF;;;;
277Hs;108;169;SF;;;18 ms;3/2+;
278Hs;108;170;SF;;;;0+;
266Mt;109;157;a;;;2 ms;;
267Mt;109;158;a;;;;;
268Mt;109;159;a;;;21 ms;5+, 6+;
269Mt;109;160;a;;;;;
270Mt;109;161;a;;;0.48 s;;
271Mt;109;162;a;;;;;
272Mt;109;163;a;SF;;;;
273Mt;109;164;a;SF;;;;
274Mt;109;165;a;;;640 ms;;
275Mt;109;166;a;;;20 ms;;
276Mt;109;167;a;;;620 ms;;
277Mt;109;168;SF;;;5 ms;;
278Mt;109;169;a;;;4.5 s;;
282Mt;109;173;a;;;67 s;;
267Ds;110;157;a;;;2.8 μs;3/2+;
268Ds;110;158;a;;;;0+;
269Ds;110;159;a;;;170 μs;;
270Ds;110;160;a;;;205 μs;0+;
271Ds;110;161;SF: 75.0%;a: 25.0%;;144 ms;;
272Ds;110;162;SF;;;;0+;
273Ds;110;163;a;;;190 μs;;
274Ds;110;164;a;SF;;;;
275Ds;110;165;a;;;430 μs;;
276Ds;110;166;SF: 57.0%;a: 43.0%;;150 μs;0+;
277Ds;110;167;a;;;4 ms;;
278Ds;110;168;a;SF;;;;
279Ds;110;169;SF: 87.0%;a: 13.0%;;186 ms;;
280Ds;110;170;SF;;;360 μs;0+;
281Ds;110;171;SF: 90.0%;a: 10.0%;;14 s;;
282Ds;110;172;a;;;67 s;0+;
272Rg;111;161;a;;;3.8 ms;5+, 6+;
273Rg;111;162;a;;;;;
274Rg;111;163;a;;;12 ms;;
275Rg;111;164;a;;;;;
276Rg;111;165;a;SF;;;;
277Rg;111;166;a;SF;;;;
278Rg;111;167;a;;;4.6 ms;;
279Rg;111;168;a: 87.0%;SF: 13.0%;;90 ms;;
280Rg;111;169;a: 87.0%;EC: 13.0%;;3.9 s;;
281Rg;111;170;SF: 86.0%;a: 14.0%;;11 s;;
282Rg;111;171;a;;;100 s;;
283Rg;111;172;SF;;;5.1 min;;
286Rg;111;175;a;;;10.7 min;;
277Cn;112;165;a;;;610 μs;3/2+;
278Cn;112;166;a;SF;;;;
279Cn;112;167;a;SF;;;;
280Cn;112;168;SF;;;10 μs;0+;
281Cn;112;169;a;;;160 ms;3/2+;
282Cn;112;170;SF;;;0.83 ms;0+;
283Cn;112;171;a: 96.0%;SF: 4.0%;;3.81 s;;
284Cn;112;172;SF: 98.0%;a: 2.0%;;121 ms;0+;
285Cn;112;173;a;;;28 s;5/2+;
286Cn;112;174;SF;;;8.4 s;0+;
278Nh;113;165;a;;;2 ms;;
279Nh;113;166;a;SF;;;;
280Nh;113;167;a;SF;;;;
281Nh;113;168;a;SF;;;;
282Nh;113;169;a;;;61 ms;;
283Nh;113;170;a;;;123 ms;;
284Nh;113;171;a: 99.0%;EC: 1.0%;;0.9 s;;
285Nh;113;172;a: 82.0%;SF: 18.0%;;2.1 s;;
286Nh;113;173;a;;;9.5 s;;
287Nh;113;174;a;;;5.5 s;;
290Nh;113;177;a;SF;;2 s;;
284Fl;114;170;SF: 76.0%;a: 24.0%;;2.5 ms;0+;
285Fl;114;171;a;;;86 ms;3/2+;
286Fl;114;172;a: 55.0%;SF: 45.0%;;105 ms;0+;
287Fl;114;173;a;;;360 ms;;
288Fl;114;174;a;;;653 ms;0+;
289Fl;114;175;a;;;1.9 s;5/2+;
290Fl;114;176;EC;a;;19 s;0+;
286Mc;115;171;a;;;20 ms;;
287Mc;115;172;a;;;38 ms;;
288Mc;115;173;a;;;193 ms;;
289Mc;115;174;a;;;250 ms;;
290Mc;115;175;a;;;650 ms;;
288Lv;116;172;a;;;2 ms;0+;
289Lv;116;173;a;;;2.4 ms;;
290Lv;116;174;a;;;8.3 ms;0+;
291Lv;116;175;a;;;19 ms;;
292Lv;116;176;a;;;16 ms;0+;
293Lv;116;177;a;;;57 ms;;
294Lv;116;178;a;;;54 ms;0+;
293Ts;117;176;a;;;22 ms;;
294Ts;117;177;a;;;51 ms;;
294Og;118;176;a;;;0.58 ms;0+;
